Exposure started time stamp,Exposure ended time stamp,Wavelength,Intensity
3849.4,5003849.4,532.125195549041,539
3849.4,5003849.4,532.55213304427286,562
3849.4,5003849.4,532.97906144689023,540
3849.4,5003849.4,533.40598075116668,552
3849.4,5003849.4,533.832890951376,529
3849.4,5003849.4,534.25979204179282,507
3849.4,5003849.4,534.68668401669129,541
3849.4,5003849.4,535.113566870347,512
3849.4,5003849.4,535.54044059703506,485
3849.4,5003849.4,535.96730519103119,509
3849.4,5003849.4,536.394160646612,514
3849.4,5003849.4,536.82100695805366,460
3849.4,5003849.4,537.24784411963344,506
3849.4,5003849.4,537.67467212562838,482
3849.4,5003849.4,538.10149097031638,478
3849.4,5003849.4,538.52830064797615,462
3849.4,5003849.4,538.95510115288516,464
3849.4,5003849.4,539.38189247932337,451
3849.4,5003849.4,539.80867462156914,414
3849.4,5003849.4,540.23544757390243,418
3849.4,5003849.4,540.66221133060333,454
3849.4,5003849.4,541.08896588595269,425
3849.4,5003849.4,541.51571123423093,422
3849.4,5003849.4,541.94244736971882,417
3849.4,5003849.4,542.36917428669915,421
3849.4,5003849.4,542.7958919794529,442
3849.4,5003849.4,543.22260044226289,417
3849.4,5003849.4,543.64929966941168,414
3849.4,5003849.4,544.07598965518241,396
3849.4,5003849.4,544.502670393859,387
3849.4,5003849.4,544.92934187972526,403
3849.4,5003849.4,545.35600410706525,387
3849.4,5003849.4,545.78265707016408,359
3849.4,5003849.4,546.20930076330626,380
3849.4,5003849.4,546.63593518077778,422
3849.4,5003849.4,547.06256031686485,374
3849.4,5003849.4,547.48917616585288,363
3849.4,5003849.4,547.91578272202935,374
3849.4,5003849.4,548.34237997968091,380
3849.4,5003849.4,548.76896793309538,360
3849.4,5003849.4,549.1955465765601,387
3849.4,5003849.4,549.62211590436391,358
3849.4,5003849.4,550.04867591079517,384
3849.4,5003849.4,550.47522659014282,361
3849.4,5003849.4,550.90176793669684,360
3849.4,5003849.4,551.32829994474628,333
3849.4,5003849.4,551.75482260858189,379
3849.4,5003849.4,552.18133592249444,346
3849.4,5003849.4,552.60783988077435,342
3849.4,5003849.4,553.03433447771408,343
3849.4,5003849.4,553.46081970760406,345
3849.4,5003849.4,553.88729556473788,337
3849.4,5003849.4,554.31376204340768,324
3849.4,5003849.4,554.74021913790625,330
3849.4,5003849.4,555.16666684252664,322
3849.4,5003849.4,555.59310515156392,350
3849.4,5003849.4,556.019534059311,308
3849.4,5003849.4,556.4459535600638,330
3849.4,5003849.4,556.87236364811622,318
3849.4,5003849.4,557.298764317764,313
3849.4,5003849.4,557.72515556330336,342
3849.4,5003849.4,558.15153737903063,331
3849.4,5003849.4,558.57790975924172,293
3849.4,5003849.4,559.004272698234,299
3849.4,5003849.4,559.43062619030525,287
3849.4,5003849.4,559.856970229753,303
3849.4,5003849.4,560.28330481087539,312
3849.4,5003849.4,560.70962992797126,329
3849.4,5003849.4,561.13594557534,306
3849.4,5003849.4,561.56225174728036,280
3849.4,5003849.4,561.98854843809272,274
3849.4,5003849.4,562.41483564207738,302
3849.4,5003849.4,562.841113353535,302
3849.4,5003849.4,563.26738156676629,283
3849.4,5003849.4,563.69364027607287,299
3849.4,5003849.4,564.11988947575708,286
3849.4,5003849.4,564.546129160121,281
3849.4,5003849.4,564.97235932346723,272
3849.4,5003849.4,565.39857996009914,277
3849.4,5003849.4,565.82479106431992,285
3849.4,5003849.4,566.25099263043421,263
3849.4,5003849.4,566.67718465274561,283
3849.4,5003849.4,567.1033671255592,274
3849.4,5003849.4,567.52954004317974,267
3849.4,5003849.4,567.95570339991355,252
3849.4,5003849.4,568.3818571900664,261
3849.4,5003849.4,568.80800140794486,269
3849.4,5003849.4,569.23413604785515,276
3849.4,5003849.4,569.660261104105,287
3849.4,5003849.4,570.08637657100178,260
3849.4,5003849.4,570.51248244285387,267
3849.4,5003849.4,570.93857871396983,295
3849.4,5003849.4,571.36466537865829,251
3849.4,5003849.4,571.79074243122852,267
3849.4,5003849.4,572.21680986599085,267
3849.4,5003849.4,572.64286767725434,284
3849.4,5003849.4,573.06891585933022,264
3849.4,5003849.4,573.49495440652936,253
3849.4,5003849.4,573.92098331316345,220
3849.4,5003849.4,574.34700257354382,266
3849.4,5003849.4,574.77301218198272,238
3849.4,5003849.4,575.19901213279365,242
3849.4,5003849.4,575.62500242028841,256
3849.4,5003849.4,576.05098303878094,247
3849.4,5003849.4,576.47695398258543,234
3849.4,5003849.4,576.90291524601628,219
3849.4,5003849.4,577.32886682338744,224
3849.4,5003849.4,577.75480870901526,220
3849.4,5003849.4,578.18074089721392,223
3849.4,5003849.4,578.60666338230067,220
3849.4,5003849.4,579.03257615859127,222
3849.4,5003849.4,579.45847922040275,234
3849.4,5003849.4,579.88437256205248,213
3849.4,5003849.4,580.3102561778577,211
3849.4,5003849.4,580.73613006213645,225
3849.4,5003849.4,581.16199420920793,210
3849.4,5003849.4,581.58784861339109,219
3849.4,5003849.4,582.01369326900453,192
3849.4,5003849.4,582.43952817036836,215
3849.4,5003849.4,582.86535331180335,207
3849.4,5003849.4,583.29116868762969,226
3849.4,5003849.4,583.71697429216817,221
3849.4,5003849.4,584.142770119741,187
3849.4,5003849.4,584.5685561646693,197
3849.4,5003849.4,584.99433242127589,202
3849.4,5003849.4,585.420098883884,189
3849.4,5003849.4,585.84585554681564,209
3849.4,5003849.4,586.27160240439571,199
3849.4,5003849.4,586.69733945094742,180
3849.4,5003849.4,587.12306668079509,212
3849.4,5003849.4,587.54878408826471,179
3849.4,5003849.4,587.9744916676807,174
3849.4,5003849.4,588.40018941336871,185
3849.4,5003849.4,588.82587731965612,185
3849.4,5003849.4,589.25155538086824,197
3849.4,5003849.4,589.67722359133313,196
3849.4,5003849.4,590.10288194537725,180
3849.4,5003849.4,590.52853043732944,184
3849.4,5003849.4,590.954169061518,172
3849.4,5003849.4,591.37979781227114,167
